City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
329,lucerne valley,34.4439,-116.9678,32.4,16,0,0.68,US,1697479501
330,tshabong,-26.05,22.45,22.75,16,0,4.87,BW,1697479502
331,aripuana,-9.1667,-60.6333,35.87,35,93,1.22,BR,1697479502
332,guerrero negro,27.9769,-114.0611,22.09,74,5,4.02,MX,1697479262
333,krasnovishersk,60.4078,57.082,10.86,91,100,3.25,RU,1697479505
334,aur,8.1499,171.1687,28.05,72,49,4.63,MH,1697479506
335,grande prairie,55.1667,-118.8027,3.1,93,75,0.0,CA,1697479292
336,yamada,39.4667,141.95,11.03,69,13,2.47,JP,1697479508
337,hithadhoo,-0.6,73.0833,27.43,73,24,8.25,MV,1697479509
338,palmer,42.1584,-72.3287,15.78,69,100,5.14,US,1697479509
339,northport,33.229,-87.5772,16.9,53,75,4.63,US,1697479488
340,nogliki,51.8333,143.1667,9.08,84,100,3.13,RU,1697479509
341,la'ie,21.6477,-157.9253,27.98,87,65,2.24,US,1697479510
342,pangai,-19.8,-174.35,23.06,73,20,5.66,TO,1697479511
343,muurame,62.1333,25.6667,3.42,81,92,4.3,FI,1697479511
344,nadi,-17.8,177.4167,21.0,78,20,2.57,FJ,1697479243
345,carauari,-4.8828,-66.8958,35.3,39,96,0.5,BR,1697479512
346,zag,46.9441,99.165,-2.19,43,22,2.82,MN,1697479513
347,staroyur'yevo,53.3161,40.7081,8.83,83,100,6.14,RU,1697479513
348,horta,38.5333,-28.6333,22.8,75,20,4.12,PT,1697479309
349,urucui,-7.2294,-44.5561,39.92,18,16,3.5,BR,1697479296
350,svetlyy,54.675,20.1347,9.42,66,1,4.36,RU,1697479514
351,port alfred,-33.5906,26.891,16.77,89,92,0.45,ZA,1697479334
352,vernon,50.2581,-119.2691,14.05,87,100,1.54,CA,1697479312
353,suva,-18.1416,178.4415,19.71,94,40,0.0,FJ,1697479515
354,huambo,-12.7761,15.7392,22.89,68,96,2.57,AO,1697479515
355,vidalia,32.2177,-82.4135,17.97,52,100,4.12,US,1697479516
